pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
GEUP33488,8,0,1984,MANEKA GANDHI,Uttar_Pradesh,AMETHI,IND,"",50163,F,2,1,0,FALSE,FALSE,11.5,47188,10.82,,8,10
GEUP33556,17,0,2019,NIRMAL KHATRI,Uttar_Pradesh,FAIZABAD,INC,INC,53386,M,3,8,2,FALSE,FALSE,4.91,43998,4.05,68,2,8
GEUP33556,16,0,2014,NIRMAL KHATRI,Uttar_Pradesh,FAIZABAD,INC,INC,129917,M,4,7,2,FALSE,TRUE,12.7,118380,11.58,63,2,8
GEUP33556,15,0,2009,NIRMAL KHATRI,Uttar_Pradesh,FAIZABAD,INC,INC,211543,M,1,6,2,FALSE,FALSE,28.24,54228,7.24,58,2,8
GEUP33556,14,0,2004,NIRMAL KHATRI,Uttar_Pradesh,FAIZABAD,INC,INC,95274,M,4,5,1,FALSE,FALSE,13.88,76105,11.08,53,2,8
GEUP33556,13,0,1999,Nirmal Khatri,Uttar_Pradesh,FAIZABAD,INC,INC,106237,M,3,4,1,FALSE,FALSE,16.17,21024,3.2,,2,8
GEUP33556,10,0,1991,NIRMAL KHATRI,Uttar_Pradesh,FAIZABAD,INC,INC,61490,M,3,3,1,FALSE,FALSE,13.69,8944,1.99,,2,8
GEUP33556,9,0,1989,NIRMAL KHATRI,Uttar_Pradesh,FAIZABAD,INC,INC,185172,M,2,2,1,FALSE,TRUE,40.24,146889,31.92,,2,8
GEUP33556,8,0,1984,NIRMAL KHATRI,Uttar_Pradesh,FAIZABAD,INC,"",173152,M,1,1,1,FALSE,FALSE,44.57,104492,26.9,,2,8
GEUP40204,17,0,2019,Virendra Singh,Uttar_Pradesh,BALLIA,BJP,BJP,469114,M,1,9,4,FALSE,TRUE,47.4,15519,1.57,62,4,8
GEUP40204,16,0,2014,VIRENDRA SINGH,Uttar_Pradesh,BHADOHI,BJP,BJP,403695,M,1,8,3,FALSE,FALSE,41.12,158141,16.11,57,4,8
GEUP40204,14,1,2008,VIRENDRA SINGH,Uttar_Pradesh,BALIA,BJP,BJP,22723,M,3,7,2,FALSE,FALSE,4.2,1274,0.24,,4,8
GEUP40204,14,0,2004,VEERENDRA SINGH,Uttar_Pradesh,MIRZAPUR,BJP,BJP,165530,M,2,6,2,FALSE,FALSE,22.74,7519,1.03,51,4,8
GEUP40204,13,0,1999,Virendra Singh,Uttar_Pradesh,MIRZAPUR,BJP,BJP,206373,M,2,5,2,FALSE,TRUE,26.76,71400,9.26,,4,8
GEUP40204,12,0,1998,VIRENDRA SINGH,Uttar_Pradesh,MIRZAPUR,BJP,BJP,346635,M,1,4,2,FALSE,FALSE,40.68,52777,6.19,,4,8
GEUP40204,11,0,1996,VIRENDRA SINGH,Uttar_Pradesh,MIRZAPUR,BJP,BJP,260952,M,2,3,1,FALSE,TRUE,37.19,169944,24.22,,4,8
GEUP40204,10,0,1991,BIRENDRA,Uttar_Pradesh,MIRZAPUR,BJP,BJP,163250,M,1,2,1,FALSE,FALSE,36.19,20605,4.57,,4,8
GEUP40204,9,0,1989,BIRENDRA,Uttar_Pradesh,MIRZAPUR,BJP,"",42333,M,4,1,0,FALSE,FALSE,9.28,37164,8.14,,4,8
GEUP41160,17,0,2019,Salman Khurshid,Uttar_Pradesh,FARRUKHABAD,INC,INC,55258,M,3,7,2,FALSE,FALSE,5.51,45557,4.54,66,2,7
GEUP41160,16,0,2014,SALMAN KHURSHID,Uttar_Pradesh,FARRUKHABAD,INC,INC,95543,M,4,6,2,FALSE,TRUE,9.84,36840,3.8,61,2,7
GEUP41160,15,0,2009,SALMAN KHURSHEED,Uttar_Pradesh,FARRUKHABAD,INC,INC,169351,M,1,5,2,FALSE,FALSE,27.72,27199,4.45,56,2,7
GEUP41160,12,0,1998,SALMAN KHURSHEED,Uttar_Pradesh,FARRUKHABAD,INC,INC,180531,M,3,4,1,FALSE,FALSE,25.51,73919,10.45,,2,7
